fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_hagertyb,results_bradshawm,results_mcleode,results_faparusiy,results_morgank,results_henleyr,results_stansberrye,results_grunauj,results_hilld,results_jamesa,results_hoopers,results_absentee_hagertyb,results_absentee_bradshawm,results_absentee_mcleode,results_absentee_faparusiy,results_absentee_morgank,results_absentee_henleyr,results_absentee_stansberrye,results_absentee_grunauj,results_absentee_hilld,results_absentee_jamesa,results_absentee_hoopers,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
47151,Scott,8352,0,10,10,Released as a precinct as first report of the night,92,9100,92%,92% reported,edison,2,unknown,,4059,,,7307,843,41,16,26,22,51,7,19,7,13,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:40Z,77.39464,R+77,Hagerty +77,republican,tennessee,2020-11-14T00:45:46.362289Z
47153,Sequatchie,6906,0,9,9,Released with cumulative results periodically election night,100,6844,>98%,>98% reported,edison,2,unknown,,3896,,,5591,1151,50,21,19,19,15,8,9,14,9,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:43Z,64.29192,R+64,Hagerty +64,republican,tennessee,2020-11-14T00:45:46.362289Z
47155,Sevier,42637,26359,25,25,Released as a separate subtotal as first report of the night,98,43574,98%,98% reported,edison,6,some,,21134,,,33491,7909,286,125,163,112,104,50,81,219,97,20399,5366,148,62,72,45,63,24,38,100,42,2020-11-11T03:25:45Z,59.99953,R+60,Hagerty +60,republican,tennessee,2020-11-14T00:45:46.362289Z
47157,Shelby,372775,293152,158,166,Released as a separate subtotal as first report of the night,100,354551,>98%,>98% reported,edison,6,all,,235670,,,134763,227449,1863,1288,1156,1014,1632,642,588,1027,1353,106753,178493,1355,919,860,751,1337,457,428,762,1037,2020-11-11T03:25:46Z,24.86379,D+25,Bradshaw +25,democrat,tennessee,2020-11-14T00:45:46.362289Z
47159,Smith,8375,0,8,8,Released as a separate subtotal as first report of the night,92,9070,92%,92% reported,edison,2,unknown,,5310,,,6599,1489,34,20,24,30,14,15,14,20,116,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:47Z,61.01493,R+61,Hagerty +61,republican,tennessee,2020-11-14T00:45:46.362289Z
47161,Stewart,5307,0,6,7,Released as a precinct as first report of the night,83,6369,83%,83% reported,edison,2,unknown,,3975,,,3370,1817,21,8,12,18,14,15,11,8,13,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:48Z,29.26324,R+29,Hagerty +29,republican,tennessee,2020-11-14T00:45:46.362289Z
47163,Sullivan,72465,0,25,25,Released as a separate subtotal as first report of the night,94,77253,94%,94% reported,edison,2,unknown,,48525,,,55419,15675,333,205,186,169,74,95,121,101,87,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:49Z,54.84579,R+55,Hagerty +55,republican,tennessee,2020-11-14T00:45:46.362289Z
47165,Sumner,89044,0,28,28,Released as a separate subtotal as first report of the night,100,88709,>98%,>98% reported,edison,2,unknown,,50299,,,62979,23835,479,340,356,234,135,118,115,157,296,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:25:50Z,43.96029,R+44,Hagerty +44,republican,tennessee,2020-11-14T00:45:46.362289Z
47167,Tipton,26033,0,9,9,"As a precinct in the FIRST cumulative report, along with regular precincts",90,28943,90%,90% reported,edison,4,all,,16570,,,19546,5779,163,77,92,98,53,53,57,48,67,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:12Z,52.88288,R+53,Hagerty +53,republican,tennessee,2020-11-14T00:45:46.362289Z
47169,Trousdale,3634,0,10,10,Released as a separate subtotal as first report of the night,96,3798,96%,96% reported,edison,2,unknown,,2363,,,2734,810,13,9,8,17,5,5,8,8,17,0,0,0,0,0,0,0,0,0,0,0,2020-11-11T03:26:12Z,52.94441,R+53,Hagerty +53,republican,tennessee,2020-11-14T00:45:46.362289Z
